Süre;Uzama;Gerilim 1;Yük
(sec);(mm);(mm/mm);(N)
130,2;8,04;0,0110;15952,3293
130,4;8,06;0,0110;15952,9224
130,6;8,07;0,0110;15957,4792
130,8;8,08;0,0110;15965,1369
131,0;8,10;0,0110;15963,8405
131,2;8,11;0,0110;15967,2320
131,4;8,12;0,0110;15972,9451
131,6;8,14;0,0110;15977,1755
131,8;8,15;0,0110;15975,5260
132,0;8,16;0,0110;15978,4958
132,2;8,18;0,0110;15986,5111
132,4;8,19;0,0110;15986,2146
132,6;8,20;0,0110;15989,1516
132,8;8,22;0,0110;15993,2598
133,0;8,23;0,0110;15999,9982
133,2;8,24;0,0110;15997,6229
133,4;8,26;0,0110;16000,3975
133,6;8,27;0,0110;16007,2565
133,8;8,28;0,0110;16009,5900
134,0;8,30;0,0110;16009,6511
134,2;8,31;0,0110;16013,0501
134,4;8,32;0,0110;16021,7449
134,6;8,34;0,0110;16019,3950
134,8;8,35;0,0110;16022,4363
135,0;8,36;0,0110;16027,7352
135,2;8,38;0,0110;16031,7093
135,4;8,39;0,0110;16031,9522
135,6;8,40;0,0110;16032,4812
135,8;8,42;0,0110;16040,3058
136,0;8,43;0,0110;16040,2536
136,2;8,44;0,0110;16043,5677
136,4;8,46;0,0110;16047,1201
136,6;8,47;0,0110;16052,9464
136,8;8,48;0,0110;16052,6201
137,0;8,50;0,0110;16055,5035
137,2;8,51;0,0110;16061,8037
137,4;8,52;0,0110;16061,6726
137,6;8,54;0,0110;16062,6352
137,8;8,55;0,0110;16066,2413
138,0;8,56;0,0110;16075,6513
138,2;8,58;0,0110;16071,6325
138,4;8,59;0,0110;16074,7215
138,6;8,60;0,0110;16079,3528
138,8;8,62;0,0110;16083,8380
139,0;8,63;0,0110;16083,4804
139,2;8,64;0,0110;16085,6515
139,4;8,66;0,0110;16093,5208
139,6;8,67;0,0110;16093,4731
139,8;8,68;0,0110;16095,7471
140,0;8,70;0,0110;16098,4710
140,2;8,71;0,0110;16106,2464
140,4;8,72;0,0110;16103,5746
140,6;8,74;0,0110;16104,8338
140,8;8,75;0,0110;16112,5571
141,0;8,76;0,0110;16114,3094
141,2;8,78;0,0110;16115,6312
141,4;8,79;0,0110;16117,4953
141,6;8,80;0,0110;16124,4303
141,8;8,82;0,0110;16124,0935
142,0;8,83;0,0110;16126,1678
142,2;8,84;0,0110;16129,7023
142,4;8,86;0,0110;16133,6586
142,6;8,87;0,0110;16133,2712
142,8;8,88;0,0110;16136,0309
143,0;8,90;0,0110;16143,8510
143,2;8,91;0,0110;16142,8109
143,4;8,92;0,0110;16144,2816
143,6;8,94;0,0110;16147,7461
143,8;8,95;0,0110;16154,1507
144,0;8,96;0,0110;16152,3670
144,2;8,98;0,0110;16151,7158
144,4;8,99;0,0110;16162,0170
144,6;9,00;0,0110;16162,4074
144,8;9,02;0,0110;16162,3508
145,0;9,03;0,0110;16164,2522
145,2;9,04;0,0110;16172,5134
145,4;9,06;0,0110;16171,3019
145,6;9,07;0,0110;16170,7580
145,8;9,08;0,0110;16177,6587
146,0;9,10;0,0110;16180,1413
146,2;9,11;0,0110;16180,0086
146,4;9,12;0,0110;16180,5436
146,6;9,14;0,0110;16187,3668
146,8;9,15;0,0110;16189,3770
